Song,Artist,Rank,Last Week,Peak Rank,Weeks On Chart
Easy On Me,Adele,1,1,1,14
Stay,The Kid LAROI & Justin Bieber,2,2,1,27
Heat Waves,Glass Animals,3,3,3,52
We Don't Talk About Bruno,Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast,4,5,4,3
Shivers,Ed Sheeran,5,4,4,18
Super Gremlin,Kodak Black,6,10,6,10
Pushin P,Gunna & Future Featuring Young Thug,7,-,7,1
Need To Know,Doja Cat,8,9,8,31
abcdefu,GAYLE,9,11,9,8
Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,7,19
Sacrifice,The Weeknd,11,-,11,1
Industry Baby,Lil Nas X & Jack Harlow,12,6,1,25
Bad Habits,Ed Sheeran,13,8,2,29
Surface Pressure,Jessica Darrow,14,14,14,3
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,13,5,10
Too Easy,Gunna & Future,16,84,16,11
Ghost,Justin Bieber,17,17,17,16
Levitating,Dua Lipa,18,12,2,62
Fingers Crossed,Lauren Spencer-Smith,19,69,19,2
Good 4 U,Olivia Rodrigo,20,15,1,35
Save Your Tears,The Weeknd & Ariana Grande,21,18,1,54
Take My Breath,The Weeknd,22,-,6,17
Thought I Was Playing,Gunna & 21 Savage,23,-,23,1
Thats What I Want,Lil Nas X,24,20,10,17
Hrs And Hrs,Muni Long,25,34,25,3
Oh My God,Adele,26,24,5,8
Fancy Like,Walker Hayes,27,16,3,30
25k Jacket,Gunna Featuring Lil Baby,28,-,28,1
Gasoline,The Weeknd,29,-,29,1
One Right Now,Post Malone & The Weeknd,30,22,6,10
Is There Someone Else?,The Weeknd,31,-,31,1
Out Of Time,The Weeknd,32,-,32,1
Better Days,NEIKED X Mae Muller X Polo G,33,23,23,13
I Hate U,SZA,34,30,7,6
Kiss Me More,Doja Cat Featuring SZA,35,19,3,39
Essence,Wizkid Featuring Justin Bieber & Tems,36,21,9,27
Happier Than Ever,Billie Eilish,37,26,11,24
Buy Dirt,Jordan Davis Featuring Luke Bryan,38,28,28,23
How Do I Make You Love Me?,The Weeknd,39,-,39,1
You Right,Doja Cat & The Weeknd,40,25,11,28
Love Nwantiti (Ah Ah Ah),CKay,41,29,29,17
Poochie Gown,Gunna,42,-,42,1
You Should Probably Leave,Chris Stapleton,43,32,32,28
Knife Talk,Drake Featuring 21 Savage & Project Pat,44,31,4,19
Mop,Gunna Featuring Young Thug,45,-,45,1
Alotta Cake,Gunna,46,-,46,1
How You Did That,Gunna Featuring Kodak Black,47,-,47,1
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,48,36,30,22
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,49,39,21,18
If I Didn't Love You,Jason Aldean & Carrie Underwood,50,35,15,22
Broadway Girls,Lil Durk Featuring Morgan Wallen,51,27,14,4
Here We Go... Again,The Weeknd Featuring Tyler, The Creator,52,-,52,1
Less Than Zero,The Weeknd,53,-,53,1
Big Energy,Latto,54,42,42,12
One Mississippi,Kane Brown,55,40,40,16
Whiskey And Rain,Michael Ray,56,37,37,15
Sand In My Boots,Morgan Wallen,57,43,32,26
Way 2 Sexy,Drake Featuring Future & Young Thug,58,33,1,19
IDK That Bitch,Gunna Featuring G Herbo,59,-,59,1
Best Friends,The Weeknd,60,-,60,1
Livin Wild,Gunna,61,-,61,1
I Heard You're Married,The Weeknd Featuring Lil Wayne,62,-,62,1
Circles Around This Town,Maren Morris,63,-,63,1
Freedom Was A Highway,Jimmie Allen & Brad Paisley,64,45,45,14
Dawn FM,The Weeknd,65,-,65,1
The Family Madrigal,Stephanie Beatriz, Olga Merediz & Encanto Cast,66,62,62,2
Enemy,Imagine Dragons X JID,67,48,48,8
Private Island,Gunna,68,-,68,1
Girls Want Girls,Drake Featuring Lil Baby,69,44,2,19
South To West,Gunna,70,-,70,1
Dos Oruguitas,Sebastian Yatra,71,83,71,2
You & Me,Gunna & Chloe,72,-,72,1
Woman,Doja Cat,73,56,56,24
'Til You Can't,Cody Johnson,74,57,57,14
To Be Loved By You,Parker McCollum,75,52,52,7
Who Want Smoke??,Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage,76,47,17,14
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,77,67,67,2
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,78,53,53,9
Starry Eyes,The Weeknd,79,-,79,1
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,80,51,51,16
Have Mercy,Chloe,81,54,28,18
All Too Well (Taylor's Version),Taylor Swift,82,55,1,9
Heart On Fire,Eric Church,83,59,59,8
For Tonight,Giveon,84,61,61,15
Don't Break My Heart,The Weeknd,85,-,85,1
Flooded,Gunna,86,-,86,1
Waiting On A Miracle,Stephanie Beatriz,87,82,82,2
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,88,63,45,9
Scorpio,Moneybagg Yo,89,66,66,8
Do It To It,Acraze Featuring Cherish,90,65,65,4
By Your Side,Rod Wave,91,64,58,7
Die Alone,Gunna & Chris Brown Featuring Yung Bleu,92,-,92,1
Every Angel Is Terrifying,The Weeknd,93,-,93,1
My Universe,Coldplay x BTS,94,58,1,16
Tequila Little Time,Jon Pardi,95,60,60,14
23,Sam Hunt,96,75,75,3
I Am Woman,Emmy Meli,97,74,74,3
Doin' This,Luke Combs,98,76,53,5
Beers On Me,Dierks Bentley, Breland & HARDY,99,72,72,3
Pressure,Ari Lennox,100,79,79,3
