Song,Artist,Rank,Last Week,Peak Rank,Weeks On Chart
All I Want For Christmas Is You,Mariah Carey,1,1,1,51
Easy On Me,Adele,2,5,1,12
Rockin' Around The Christmas Tree,Brenda Lee,3,2,2,45
Jingle Bell Rock,Bobby Helms,4,3,3,42
A Holly Jolly Christmas,Burl Ives,5,4,4,26
Stay,The Kid LAROI & Justin Bieber,6,9,1,25
Heat Waves,Glass Animals,7,15,7,50
It's The Most Wonderful Time Of The Year,Andy Williams,8,6,5,27
Shivers,Ed Sheeran,9,23,5,16
Feliz Navidad,Jose Feliciano,10,8,6,20
